"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.541145650660113","0.513129163900749","0.504980494341309","0.508268857126248","0.502026587911717","0.493703767769198","0.47726856787845","0.471527350871679","0.469473565097495","0.432168381299469","0.414024343249278","0.431389859498509","0.420203041959856","0.420856025957401","0.416382263865464","0.380766135904987","0.351555798614861","0.335102004338523","0.335931565412346","0.320213797040338","0.317443113348012","0.29464313175258","0.306590443853488","0.298682665327413","0.29013771728017","0.273490385529069","0.261358571902132","0.255395815449263","0.243792122132981","0.239219354343505","","",
"Afghanistan","AFG","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0520052740051767","0.0555040341374304","0.044998599744515","0.0590286845531525","0.061713630602974","0.0530906290909512","0.100814738552539","0.113118677615234","0.142400815603977","0.174467969847596","0.135418228630305","0.0920973947953241","0.0706648881620335","0.0828325109987508","0.0756084839903742","0.0639790815690618","0.078417168806689","0.0742612659681981","","",
"Africa Western and Central","AFW","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.270933566848808","0.294583160892727","0.309200049051363","0.288638499942336","0.261185539270703","0.273959470396818","0.296895269845804","0.279757906798874","0.256923993078034","0.254326090180169","0.255790609794024","0.250732479510968","0.213985097582309","0.211984256428208","0.191346913287728","0.180309682835516","0.159185625941785","0.140884592433303","0.138036963770908","0.125377894766211","0.130781989882277","0.12673126006858","0.124239916350834","0.12635428707839","0.122349998984139","0.119106528773864","0.122733810008459","0.117390946224459","0.114962110452765","0.113930724439138","","",
"Angola","AGO","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.169661424591665","0.165225455642454","0.176961622102018","0.306399393407363","0.360854431998117","0.345963524039539","0.363199315443943","0.348351923946419","0.341459452667595","0.346031556475422","0.302047003938939","0.27926970665442","0.237830787482094","0.241900271222879","0.221068047212282","0.168826937843685","0.153780997850683","0.134586068711408","0.134954420629012","0.145846738625122","0.148157327719982","0.1468572373304","0.128247685699785","0.13489061334119","0.134458866052629","0.154689367963702","0.145259535843102","0.11124500594067","0.108781954864617","0.11323847430622","","",
"Albania","ALB","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.713616596501854","0.650918006006614","0.374937467991727","0.310205327849651","0.281796783071386","0.227088388105746","0.205463522105697","0.171808551686268","0.18938089428225","0.275189100140865","0.265766538888017","0.245451444532298","0.264379386091399","0.267781162240375","0.258680716103252","0.228157361435833","0.204092379617861","0.191364566283984","0.16823670345698","0.163554867020742","0.158654144797192","0.1635445268257","0.142808734813748","0.145079459404012","0.148174116104933","0.137558075961732","0.128958542595313","0.140066382773958","0.132072384478447","0.117457164339017","","",
"Andorra","AND","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.422711637585845","0.381353078930776","0.385462309420372","0.394088346971619","0.397504565804105","0.390750577288438","0.380009198603491","0.375130904644276","0.353437839100879","0.346189917027333","0.330473837971702","0.335601685117806","0.340638230470118","0.330389108280874","0.310515386434645","0.305079664296826","0.29473956910175","0.286277175368413","0.287383400919214","0.293925019659331","0.293838599195112","0.283645896798762","0.279293765722643","0.2789803420849","0.28607189569725","0.318196892252408","0.325828823771352","0.31216538036915","0.293616393011041","0.291955401359969","","",
"United Arab Emirates","ARE","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.346546613563368","0.37057769754915","0.340000588168116","0.349527883423901","0.356172404162214","0.347269458074299","0.336743055614","0.317312239550635","0.320588772526865","0.315427251050551","0.275157477320877","0.30443913911398","0.29851674976646","0.281733311272444","0.265342800264494","0.259748258782336","0.23945212050212","0.245045726635676","0.275804094235736","0.291008385629544","0.293416229900893","0.273459069356075","0.270719917407241","0.277785882461227","0.265156871037327","0.314113527959519","0.324694744740849","0.305250404738539","0.26451299648785","0.274051864715846","","",
"Argentina","ARG","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.427885318755653","0.400421485394376","0.369593196996456","0.340855544836826","0.320044696405855","0.325477097261707","0.328803240996175","0.307688591115369","0.308199611792751","0.318928940558104","0.309108915036434","0.2994808072189","0.31035772767781","0.303896689404981","0.300614754560607","0.276503622842793","0.263401260357641","0.247291625591936","0.239507786740155","0.236829154988587","0.226954669749879","0.221557759664799","0.217104382367238","0.215685674366766","0.213835830780059","0.213970221242265","0.206907261341173","0.172534137625635","0.170702302294416","0.162613798950267","","",
